[NLOS] Signal: -87.15 dBm | First Path: -94.75 dBm | Diff: 7.60 dB
[NLOS] Signal: -87.60 dBm | First Path: -94.62 dBm | Diff: 7.02 dB
[NLOS] Signal: -87.68 dBm | First Path: -94.75 dBm | Diff: 7.06 dB
[NLOS] Signal: -87.73 dBm | First Path: -94.60 dBm | Diff: 6.87 dB
[NLOS] Signal: -87.66 dBm | First Path: -94.80 dBm | Diff: 7.13 dB
[NLOS] Signal: -87.69 dBm | First Path: -94.51 dBm | Diff: 6.82 dB
[NLOS] Signal: -87.52 dBm | First Path: -97.28 dBm | Diff: 9.76 dB
[NLOS] Signal: -87.39 dBm | First Path: -96.31 dBm | Diff: 8.91 dB
[NLOS] Signal: -87.06 dBm | First Path: -95.27 dBm | Diff: 8.21 dB
[NLOS] Signal: -86.93 dBm | First Path: -95.22 dBm | Diff: 8.29 dB
[NLOS] Signal: -86.87 dBm | First Path: -94.82 dBm | Diff: 7.96 dB
[NLOS] Signal: -87.45 dBm | First Path: -94.33 dBm | Diff: 6.88 dB
[NLOS] Signal: -87.93 dBm | First Path: -95.16 dBm | Diff: 7.23 dB
[NLOS] Signal: -87.19 dBm | First Path: -95.57 dBm | Diff: 8.37 dB
[NLOS] Signal: -87.03 dBm | First Path: -95.47 dBm | Diff: 8.44 dB
[NLOS] Signal: -87.52 dBm | First Path: -96.13 dBm | Diff: 8.62 dB
[NLOS] Signal: -87.61 dBm | First Path: -95.54 dBm | Diff: 7.93 dB
[NLOS] Signal: -87.39 dBm | First Path: -95.64 dBm | Diff: 8.25 dB
[NLOS] Signal: -86.93 dBm | First Path: -95.79 dBm | Diff: 8.86 dB
[NLOS] Signal: -86.85 dBm | First Path: -95.29 dBm | Diff: 8.44 dB
[NLOS] Signal: -87.28 dBm | First Path: -96.13 dBm | Diff: 8.85 dB
[NLOS] Signal: -87.03 dBm | First Path: -95.30 dBm | Diff: 8.27 dB
[NLOS] Signal: -87.53 dBm | First Path: -96.16 dBm | Diff: 8.63 dB
[NLOS] Signal: -87.68 dBm | First Path: -96.36 dBm | Diff: 8.68 dB
[NLOS] Signal: -87.73 dBm | First Path: -96.25 dBm | Diff: 8.52 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.84 dBm | Diff: 8.53 dB
[NLOS] Signal: -87.15 dBm | First Path: -96.10 dBm | Diff: 8.95 dB
[NLOS] Signal: -87.03 dBm | First Path: -94.90 dBm | Diff: 7.87 dB
[NLOS] Signal: -87.06 dBm | First Path: -96.27 dBm | Diff: 9.21 dB
[NLOS] Signal: -86.70 dBm | First Path: -96.03 dBm | Diff: 9.33 dB
[NLOS] Signal: -86.44 dBm | First Path: -96.65 dBm | Diff: 10.21 dB
[NLOS] Signal: -86.70 dBm | First Path: -96.73 dBm | Diff: 10.03 dB
[NLOS] Signal: -86.60 dBm | First Path: -96.31 dBm | Diff: 9.71 dB
[NLOS] Signal: -87.02 dBm | First Path: -95.59 dBm | Diff: 8.57 dB
[NLOS] Signal: -87.73 dBm | First Path: -95.55 dBm | Diff: 7.83 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.01 dBm | Diff: 7.70 dB
[NLOS] Signal: -87.39 dBm | First Path: -96.49 dBm | Diff: 9.10 dB
[NLOS] Signal: -87.52 dBm | First Path: -96.51 dBm | Diff: 9.00 dB
[NLOS] Signal: -87.43 dBm | First Path: -96.23 dBm | Diff: 8.80 dB
[NLOS] Signal: -87.69 dBm | First Path: -95.74 dBm | Diff: 8.05 dB
[NLOS] Signal: -88.28 dBm | First Path: -95.02 dBm | Diff: 6.74 dB
[NLOS] Signal: -87.60 dBm | First Path: -95.31 dBm | Diff: 7.71 dB
[NLOS] Signal: -87.45 dBm | First Path: -95.14 dBm | Diff: 7.70 dB
[NLOS] Signal: -88.64 dBm | First Path: -95.11 dBm | Diff: 6.47 dB
[NLOS] Signal: -87.86 dBm | First Path: -95.11 dBm | Diff: 7.24 dB
[NLOS] Signal: -87.60 dBm | First Path: -94.74 dBm | Diff: 7.14 dB
[NLOS] Signal: -88.16 dBm | First Path: -95.00 dBm | Diff: 6.84 dB
[NLOS] Signal: -87.61 dBm | First Path: -95.22 dBm | Diff: 7.61 dB
[NLOS] Signal: -87.85 dBm | First Path: -95.15 dBm | Diff: 7.30 dB
[NLOS] Signal: -87.69 dBm | First Path: -95.28 dBm | Diff: 7.59 dB
[NLOS] Signal: -87.61 dBm | First Path: -95.75 dBm | Diff: 8.14 dB
[NLOS] Signal: -87.60 dBm | First Path: -96.12 dBm | Diff: 8.51 dB
[NLOS] Signal: -87.85 dBm | First Path: -96.58 dBm | Diff: 8.73 dB
[NLOS] Signal: -87.45 dBm | First Path: -95.03 dBm | Diff: 7.59 dB
[NLOS] Signal: -90.28 dBm | First Path: -95.59 dBm | Diff: 5.31 dB
[NLOS] Signal: -87.86 dBm | First Path: -95.97 dBm | Diff: 8.10 dB
[NLOS] Signal: -87.68 dBm | First Path: -95.44 dBm | Diff: 7.75 dB
[NLOS] Signal: -87.53 dBm | First Path: -95.71 dBm | Diff: 8.18 dB
[NLOS] Signal: -87.93 dBm | First Path: -96.33 dBm | Diff: 8.40 dB
[NLOS] Signal: -87.43 dBm | First Path: -95.60 dBm | Diff: 8.17 dB
[NLOS] Signal: -87.06 dBm | First Path: -95.38 dBm | Diff: 8.31 dB
[NLOS] Signal: -87.43 dBm | First Path: -95.48 dBm | Diff: 8.05 dB
[NLOS] Signal: -87.19 dBm | First Path: -96.31 dBm | Diff: 9.11 dB
[NLOS] Signal: -87.15 dBm | First Path: -96.49 dBm | Diff: 9.35 dB
[NLOS] Signal: -86.93 dBm | First Path: -96.09 dBm | Diff: 9.16 dB
[NLOS] Signal: -87.03 dBm | First Path: -96.51 dBm | Diff: 9.48 dB
[NLOS] Signal: -86.85 dBm | First Path: -96.67 dBm | Diff: 9.82 dB
[NLOS] Signal: -86.85 dBm | First Path: -96.30 dBm | Diff: 9.45 dB
[NLOS] Signal: -87.61 dBm | First Path: -96.33 dBm | Diff: 8.72 dB
[NLOS] Signal: -86.93 dBm | First Path: -95.55 dBm | Diff: 8.62 dB
[NLOS] Signal: -87.28 dBm | First Path: -95.54 dBm | Diff: 8.26 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.41 dBm | Diff: 8.10 dB
[NLOS] Signal: -87.31 dBm | First Path: -95.76 dBm | Diff: 8.45 dB
[NLOS] Signal: -87.11 dBm | First Path: -95.95 dBm | Diff: 8.83 dB
[NLOS] Signal: -87.06 dBm | First Path: -96.02 dBm | Diff: 8.95 dB
[NLOS] Signal: -87.15 dBm | First Path: -95.99 dBm | Diff: 8.84 dB
[NLOS] Signal: -87.06 dBm | First Path: -96.10 dBm | Diff: 9.03 dB
[NLOS] Signal: -87.52 dBm | First Path: -96.18 dBm | Diff: 8.66 dB
[NLOS] Signal: -87.52 dBm | First Path: -96.16 dBm | Diff: 8.65 dB
[NLOS] Signal: -88.16 dBm | First Path: -97.34 dBm | Diff: 9.18 dB
[NLOS] Signal: -87.95 dBm | First Path: -96.03 dBm | Diff: 8.08 dB
[NLOS] Signal: -88.33 dBm | First Path: -95.95 dBm | Diff: 7.62 dB
[NLOS] Signal: inf dBm | First Path: -96.02 dBm | Diff: inf dB
[NLOS] Signal: -88.16 dBm | First Path: -94.94 dBm | Diff: 6.78 dB
[NLOS] Signal: -89.24 dBm | First Path: -94.62 dBm | Diff: 5.38 dB
[NLOS] Signal: -88.98 dBm | First Path: -94.45 dBm | Diff: 5.47 dB
[NLOS] Signal: -87.61 dBm | First Path: -94.76 dBm | Diff: 7.15 dB
[NLOS] Signal: -87.52 dBm | First Path: -95.79 dBm | Diff: 8.27 dB
[NLOS] Signal: -87.11 dBm | First Path: -96.35 dBm | Diff: 9.24 dB
[NLOS] Signal: -87.85 dBm | First Path: -95.71 dBm | Diff: 7.86 dB
[NLOS] Signal: -87.39 dBm | First Path: -96.08 dBm | Diff: 8.69 dB
[NLOS] Signal: -89.96 dBm | First Path: -95.70 dBm | Diff: 5.74 dB
[NLOS] Signal: -87.68 dBm | First Path: -96.22 dBm | Diff: 8.54 dB
[NLOS] Signal: -87.68 dBm | First Path: -95.06 dBm | Diff: 7.38 dB
[NLOS] Signal: -87.77 dBm | First Path: -95.34 dBm | Diff: 7.57 dB
[NLOS] Signal: -87.61 dBm | First Path: -95.28 dBm | Diff: 7.67 dB
[NLOS] Signal: -87.52 dBm | First Path: -96.43 dBm | Diff: 8.91 dB
[NLOS] Signal: -87.68 dBm | First Path: -97.14 dBm | Diff: 9.46 dB
[NLOS] Signal: -87.86 dBm | First Path: -96.68 dBm | Diff: 8.82 dB
[NLOS] Signal: -87.11 dBm | First Path: -95.63 dBm | Diff: 8.52 dB
[NLOS] Signal: -86.89 dBm | First Path: -95.04 dBm | Diff: 8.14 dB
[NLOS] Signal: -87.28 dBm | First Path: -95.32 dBm | Diff: 8.04 dB
[NLOS] Signal: -88.24 dBm | First Path: -95.77 dBm | Diff: 7.53 dB
[NLOS] Signal: -87.45 dBm | First Path: -96.70 dBm | Diff: 9.25 dB
[NLOS] Signal: -87.39 dBm | First Path: -96.62 dBm | Diff: 9.23 dB
[NLOS] Signal: -87.23 dBm | First Path: -95.98 dBm | Diff: 8.75 dB
[NLOS] Signal: -87.19 dBm | First Path: -95.82 dBm | Diff: 8.63 dB
[NLOS] Signal: -86.95 dBm | First Path: -95.76 dBm | Diff: 8.81 dB
[NLOS] Signal: -87.43 dBm | First Path: -96.29 dBm | Diff: 8.86 dB
[NLOS] Signal: -87.28 dBm | First Path: -96.42 dBm | Diff: 9.14 dB
[NLOS] Signal: -87.68 dBm | First Path: -95.14 dBm | Diff: 7.46 dB
[NLOS] Signal: -87.68 dBm | First Path: -94.60 dBm | Diff: 6.92 dB
[NLOS] Signal: -88.43 dBm | First Path: -95.35 dBm | Diff: 6.92 dB
[NLOS] Signal: -87.61 dBm | First Path: -94.02 dBm | Diff: 6.41 dB
[NLOS] Signal: -88.52 dBm | First Path: -95.03 dBm | Diff: 6.51 dB
[NLOS] Signal: -87.85 dBm | First Path: -94.69 dBm | Diff: 6.84 dB
[NLOS] Signal: -88.54 dBm | First Path: -95.27 dBm | Diff: 6.72 dB
[NLOS] Signal: -88.04 dBm | First Path: -95.23 dBm | Diff: 7.19 dB
[NLOS] Signal: -87.68 dBm | First Path: -95.89 dBm | Diff: 8.21 dB
[NLOS] Signal: -87.77 dBm | First Path: -96.08 dBm | Diff: 8.31 dB
[NLOS] Signal: -88.03 dBm | First Path: -96.26 dBm | Diff: 8.23 dB
[NLOS] Signal: -87.68 dBm | First Path: -96.53 dBm | Diff: 8.84 dB
[NLOS] Signal: -87.53 dBm | First Path: -96.23 dBm | Diff: 8.70 dB
[NLOS] Signal: -87.86 dBm | First Path: -96.60 dBm | Diff: 8.73 dB
