[NLOS] Signal: -84.53 dBm | First Path: -92.99 dBm | Diff: 8.46 dB
[NLOS] Signal: -84.84 dBm | First Path: -92.44 dBm | Diff: 7.60 dB
[NLOS] Signal: -84.42 dBm | First Path: -92.68 dBm | Diff: 8.27 dB
[NLOS] Signal: -84.08 dBm | First Path: -92.84 dBm | Diff: 8.76 dB
[NLOS] Signal: -84.02 dBm | First Path: -93.20 dBm | Diff: 9.18 dB
[NLOS] Signal: -84.55 dBm | First Path: -93.65 dBm | Diff: 9.10 dB
[NLOS] Signal: -84.12 dBm | First Path: -94.06 dBm | Diff: 9.94 dB
[NLOS] Signal: -84.46 dBm | First Path: -94.78 dBm | Diff: 10.32 dB
[NLOS] Signal: -84.92 dBm | First Path: -94.10 dBm | Diff: 9.18 dB
[NLOS] Signal: -84.51 dBm | First Path: -94.74 dBm | Diff: 10.23 dB
[NLOS] Signal: -84.54 dBm | First Path: -94.79 dBm | Diff: 10.25 dB
[NLOS] Signal: -84.22 dBm | First Path: -94.48 dBm | Diff: 10.26 dB
[NLOS] Signal: -84.42 dBm | First Path: -95.31 dBm | Diff: 10.90 dB
[NLOS] Signal: -84.32 dBm | First Path: -94.86 dBm | Diff: 10.54 dB
[NLOS] Signal: -84.22 dBm | First Path: -94.26 dBm | Diff: 10.04 dB
[NLOS] Signal: -84.69 dBm | First Path: -95.66 dBm | Diff: 10.97 dB
[NLOS] Signal: -84.35 dBm | First Path: -94.80 dBm | Diff: 10.45 dB
[NLOS] Signal: -84.37 dBm | First Path: -95.23 dBm | Diff: 10.86 dB
[NLOS] Signal: -83.99 dBm | First Path: -94.44 dBm | Diff: 10.45 dB
[NLOS] Signal: -84.08 dBm | First Path: -94.89 dBm | Diff: 10.81 dB
[NLOS] Signal: -83.83 dBm | First Path: -94.35 dBm | Diff: 10.52 dB
[NLOS] Signal: -84.28 dBm | First Path: -94.92 dBm | Diff: 10.64 dB
[NLOS] Signal: -84.21 dBm | First Path: -94.40 dBm | Diff: 10.20 dB
[NLOS] Signal: -84.05 dBm | First Path: -93.76 dBm | Diff: 9.71 dB
[NLOS] Signal: -84.28 dBm | First Path: -93.58 dBm | Diff: 9.30 dB
[NLOS] Signal: -84.37 dBm | First Path: -93.60 dBm | Diff: 9.24 dB
[NLOS] Signal: -84.62 dBm | First Path: -94.22 dBm | Diff: 9.60 dB
[NLOS] Signal: -84.32 dBm | First Path: -95.77 dBm | Diff: 11.45 dB
[NLOS] Signal: -84.32 dBm | First Path: -94.97 dBm | Diff: 10.65 dB
[NLOS] Signal: -84.35 dBm | First Path: -95.29 dBm | Diff: 10.94 dB
[NLOS] Signal: -83.99 dBm | First Path: -94.72 dBm | Diff: 10.72 dB
[NLOS] Signal: -84.13 dBm | First Path: -94.99 dBm | Diff: 10.87 dB
[NLOS] Signal: -84.38 dBm | First Path: -94.39 dBm | Diff: 10.01 dB
[NLOS] Signal: -83.97 dBm | First Path: -94.45 dBm | Diff: 10.49 dB
[NLOS] Signal: -83.80 dBm | First Path: -94.35 dBm | Diff: 10.54 dB
[NLOS] Signal: -83.84 dBm | First Path: -94.68 dBm | Diff: 10.84 dB
[NLOS] Signal: -84.13 dBm | First Path: -94.98 dBm | Diff: 10.86 dB
[NLOS] Signal: -83.86 dBm | First Path: -95.18 dBm | Diff: 11.33 dB
[NLOS] Signal: -84.21 dBm | First Path: -94.55 dBm | Diff: 10.34 dB
[NLOS] Signal: -84.54 dBm | First Path: -94.52 dBm | Diff: 9.97 dB
[NLOS] Signal: -84.22 dBm | First Path: -95.95 dBm | Diff: 11.73 dB
[NLOS] Signal: -83.99 dBm | First Path: -94.86 dBm | Diff: 10.87 dB
[NLOS] Signal: -84.05 dBm | First Path: -94.97 dBm | Diff: 10.92 dB
[NLOS] Signal: -83.99 dBm | First Path: -94.01 dBm | Diff: 10.02 dB
[NLOS] Signal: -85.33 dBm | First Path: -94.87 dBm | Diff: 9.54 dB
[NLOS] Signal: -84.37 dBm | First Path: -94.92 dBm | Diff: 10.56 dB
[NLOS] Signal: -84.55 dBm | First Path: -94.32 dBm | Diff: 9.77 dB
[NLOS] Signal: -84.94 dBm | First Path: -94.46 dBm | Diff: 9.52 dB
[NLOS] Signal: -84.59 dBm | First Path: -94.37 dBm | Diff: 9.78 dB
[NLOS] Signal: -84.84 dBm | First Path: -95.07 dBm | Diff: 10.23 dB
[NLOS] Signal: -84.16 dBm | First Path: -94.28 dBm | Diff: 10.12 dB
[NLOS] Signal: -84.52 dBm | First Path: -93.53 dBm | Diff: 9.01 dB
[NLOS] Signal: -84.30 dBm | First Path: -93.31 dBm | Diff: 9.01 dB
[NLOS] Signal: -84.16 dBm | First Path: -93.29 dBm | Diff: 9.13 dB
[NLOS] Signal: -84.51 dBm | First Path: -93.74 dBm | Diff: 9.23 dB
[NLOS] Signal: -84.45 dBm | First Path: -94.52 dBm | Diff: 10.07 dB
[NLOS] Signal: -84.20 dBm | First Path: -95.35 dBm | Diff: 11.15 dB
[NLOS] Signal: -84.02 dBm | First Path: -94.83 dBm | Diff: 10.81 dB
[NLOS] Signal: -83.77 dBm | First Path: -94.58 dBm | Diff: 10.80 dB
[NLOS] Signal: -84.30 dBm | First Path: -94.09 dBm | Diff: 9.79 dB
[NLOS] Signal: -84.26 dBm | First Path: -94.67 dBm | Diff: 10.41 dB
[NLOS] Signal: -83.94 dBm | First Path: -94.57 dBm | Diff: 10.63 dB
[NLOS] Signal: -84.37 dBm | First Path: -95.32 dBm | Diff: 10.95 dB
[NLOS] Signal: -84.27 dBm | First Path: -95.01 dBm | Diff: 10.74 dB
[NLOS] Signal: -84.46 dBm | First Path: -94.25 dBm | Diff: 9.79 dB
[NLOS] Signal: -83.94 dBm | First Path: -94.12 dBm | Diff: 10.18 dB
[NLOS] Signal: -83.97 dBm | First Path: -94.58 dBm | Diff: 10.61 dB
[NLOS] Signal: -84.05 dBm | First Path: -94.13 dBm | Diff: 10.08 dB
[NLOS] Signal: -83.72 dBm | First Path: -94.61 dBm | Diff: 10.88 dB
[NLOS] Signal: -84.48 dBm | First Path: -93.94 dBm | Diff: 9.46 dB
[NLOS] Signal: -84.44 dBm | First Path: -93.63 dBm | Diff: 9.20 dB
[NLOS] Signal: -85.24 dBm | First Path: -94.32 dBm | Diff: 9.08 dB
[NLOS] Signal: -84.54 dBm | First Path: -94.11 dBm | Diff: 9.57 dB
[NLOS] Signal: -84.84 dBm | First Path: -94.40 dBm | Diff: 9.56 dB
[NLOS] Signal: -84.08 dBm | First Path: -94.45 dBm | Diff: 10.37 dB
[NLOS] Signal: -84.40 dBm | First Path: -94.44 dBm | Diff: 10.05 dB
[NLOS] Signal: -84.34 dBm | First Path: -95.07 dBm | Diff: 10.73 dB
[NLOS] Signal: -84.27 dBm | First Path: -94.85 dBm | Diff: 10.58 dB
[NLOS] Signal: -84.93 dBm | First Path: -94.76 dBm | Diff: 9.83 dB
[NLOS] Signal: -85.43 dBm | First Path: -94.39 dBm | Diff: 8.96 dB
[NLOS] Signal: -85.02 dBm | First Path: -94.57 dBm | Diff: 9.55 dB
[NLOS] Signal: -84.76 dBm | First Path: -94.33 dBm | Diff: 9.57 dB
[NLOS] Signal: -84.32 dBm | First Path: -93.53 dBm | Diff: 9.22 dB
[NLOS] Signal: -84.21 dBm | First Path: -93.81 dBm | Diff: 9.60 dB
[NLOS] Signal: -84.20 dBm | First Path: -95.21 dBm | Diff: 11.01 dB
[NLOS] Signal: -84.05 dBm | First Path: -94.41 dBm | Diff: 10.36 dB
[NLOS] Signal: -84.08 dBm | First Path: -95.07 dBm | Diff: 11.00 dB
[NLOS] Signal: -83.99 dBm | First Path: -94.76 dBm | Diff: 10.77 dB
[NLOS] Signal: -83.77 dBm | First Path: -94.59 dBm | Diff: 10.81 dB
[NLOS] Signal: -83.86 dBm | First Path: -94.12 dBm | Diff: 10.26 dB
[NLOS] Signal: -83.76 dBm | First Path: -93.76 dBm | Diff: 10.01 dB
[NLOS] Signal: -83.68 dBm | First Path: -93.99 dBm | Diff: 10.31 dB
[NLOS] Signal: -83.63 dBm | First Path: -93.46 dBm | Diff: 9.83 dB
[NLOS] Signal: -84.13 dBm | First Path: -93.81 dBm | Diff: 9.68 dB
[NLOS] Signal: -83.59 dBm | First Path: -93.80 dBm | Diff: 10.21 dB
[NLOS] Signal: -83.47 dBm | First Path: -94.17 dBm | Diff: 10.70 dB
[NLOS] Signal: -83.55 dBm | First Path: -94.70 dBm | Diff: 11.15 dB
[NLOS] Signal: -83.83 dBm | First Path: -94.65 dBm | Diff: 10.83 dB
[NLOS] Signal: -83.59 dBm | First Path: -95.32 dBm | Diff: 11.73 dB
[NLOS] Signal: -83.84 dBm | First Path: -94.30 dBm | Diff: 10.46 dB
[NLOS] Signal: -83.71 dBm | First Path: -94.15 dBm | Diff: 10.44 dB
[NLOS] Signal: -84.00 dBm | First Path: -93.76 dBm | Diff: 9.76 dB
[NLOS] Signal: -83.94 dBm | First Path: -92.95 dBm | Diff: 9.01 dB
[NLOS] Signal: -83.47 dBm | First Path: -94.30 dBm | Diff: 10.83 dB
[NLOS] Signal: -83.86 dBm | First Path: -93.71 dBm | Diff: 9.86 dB
[NLOS] Signal: -83.59 dBm | First Path: -94.07 dBm | Diff: 10.48 dB
[NLOS] Signal: -83.92 dBm | First Path: -93.83 dBm | Diff: 9.92 dB
[NLOS] Signal: -83.91 dBm | First Path: -94.34 dBm | Diff: 10.43 dB
[NLOS] Signal: -83.63 dBm | First Path: -94.17 dBm | Diff: 10.54 dB
[NLOS] Signal: -83.63 dBm | First Path: -94.05 dBm | Diff: 10.42 dB
[NLOS] Signal: -83.86 dBm | First Path: -93.86 dBm | Diff: 10.01 dB
[NLOS] Signal: -83.97 dBm | First Path: -93.10 dBm | Diff: 9.13 dB
