[NLOS] Signal: -85.77 dBm | First Path: -101.02 dBm | Diff: 15.25 dB
[NLOS] Signal: -86.01 dBm | First Path: -100.21 dBm | Diff: 14.20 dB
[NLOS] Signal: -85.89 dBm | First Path: -100.50 dBm | Diff: 14.61 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.36 dBm | Diff: 15.55 dB
[NLOS] Signal: -85.81 dBm | First Path: -100.81 dBm | Diff: 14.99 dB
[NLOS] Signal: -85.97 dBm | First Path: -100.41 dBm | Diff: 14.45 dB
[NLOS] Signal: -86.01 dBm | First Path: -100.71 dBm | Diff: 14.70 dB
[NLOS] Signal: -85.85 dBm | First Path: -100.11 dBm | Diff: 14.26 dB
[NLOS] Signal: -85.87 dBm | First Path: -100.19 dBm | Diff: 14.32 dB
[NLOS] Signal: -85.81 dBm | First Path: -100.53 dBm | Diff: 14.72 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.57 dBm | Diff: 14.89 dB
[NLOS] Signal: -85.73 dBm | First Path: -100.75 dBm | Diff: 15.02 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.91 dBm | Diff: 15.22 dB
[NLOS] Signal: -85.98 dBm | First Path: -100.49 dBm | Diff: 14.51 dB
[NLOS] Signal: -86.35 dBm | First Path: -100.15 dBm | Diff: 13.79 dB
[NLOS] Signal: -85.93 dBm | First Path: -99.73 dBm | Diff: 13.80 dB
[NLOS] Signal: -85.65 dBm | First Path: -100.61 dBm | Diff: 14.97 dB
[NLOS] Signal: -85.73 dBm | First Path: -100.25 dBm | Diff: 14.52 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.96 dBm | Diff: 15.26 dB
[NLOS] Signal: -85.65 dBm | First Path: -100.15 dBm | Diff: 14.50 dB
[NLOS] Signal: -85.51 dBm | First Path: -100.66 dBm | Diff: 15.15 dB
[NLOS] Signal: -85.85 dBm | First Path: -100.34 dBm | Diff: 14.49 dB
[NLOS] Signal: -85.95 dBm | First Path: -100.74 dBm | Diff: 14.79 dB
[NLOS] Signal: -85.77 dBm | First Path: -101.25 dBm | Diff: 15.48 dB
[NLOS] Signal: -85.81 dBm | First Path: -100.73 dBm | Diff: 14.92 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.00 dBm | Diff: 14.31 dB
[NLOS] Signal: -85.90 dBm | First Path: -100.44 dBm | Diff: 14.55 dB
[NLOS] Signal: -85.65 dBm | First Path: -101.76 dBm | Diff: 16.11 dB
[NLOS] Signal: -85.53 dBm | First Path: -100.56 dBm | Diff: 15.03 dB
[NLOS] Signal: -86.01 dBm | First Path: -100.93 dBm | Diff: 14.92 dB
[NLOS] Signal: -85.95 dBm | First Path: -101.20 dBm | Diff: 15.25 dB
[NLOS] Signal: -85.87 dBm | First Path: -100.50 dBm | Diff: 14.63 dB
[NLOS] Signal: -85.93 dBm | First Path: -102.16 dBm | Diff: 16.23 dB
[NLOS] Signal: -85.85 dBm | First Path: -101.09 dBm | Diff: 15.24 dB
[NLOS] Signal: -85.93 dBm | First Path: -100.01 dBm | Diff: 14.08 dB
[NLOS] Signal: -85.77 dBm | First Path: -101.62 dBm | Diff: 15.85 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.51 dBm | Diff: 14.83 dB
[NLOS] Signal: -86.19 dBm | First Path: -100.51 dBm | Diff: 14.32 dB
[NLOS] Signal: -85.85 dBm | First Path: -100.86 dBm | Diff: 15.01 dB
[NLOS] Signal: -85.81 dBm | First Path: -100.86 dBm | Diff: 15.05 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.27 dBm | Diff: 15.46 dB
[NLOS] Signal: -85.73 dBm | First Path: -102.51 dBm | Diff: 16.78 dB
[NLOS] Signal: -86.04 dBm | First Path: -101.00 dBm | Diff: 14.96 dB
[NLOS] Signal: -85.59 dBm | First Path: -100.72 dBm | Diff: 15.13 dB
[NLOS] Signal: -85.77 dBm | First Path: -101.41 dBm | Diff: 15.65 dB
[NLOS] Signal: -86.09 dBm | First Path: -100.79 dBm | Diff: 14.70 dB
[NLOS] Signal: -85.98 dBm | First Path: -101.15 dBm | Diff: 15.17 dB
[NLOS] Signal: -85.69 dBm | First Path: -100.84 dBm | Diff: 15.15 dB
[NLOS] Signal: -86.10 dBm | First Path: -100.35 dBm | Diff: 14.24 dB
[NLOS] Signal: -85.81 dBm | First Path: -100.77 dBm | Diff: 14.96 dB
[NLOS] Signal: -85.95 dBm | First Path: -100.09 dBm | Diff: 14.14 dB
[NLOS] Signal: -85.57 dBm | First Path: -100.85 dBm | Diff: 15.28 dB
[NLOS] Signal: -85.61 dBm | First Path: -101.46 dBm | Diff: 15.84 dB
[NLOS] Signal: -86.06 dBm | First Path: -101.43 dBm | Diff: 15.37 dB
[NLOS] Signal: -86.04 dBm | First Path: -102.12 dBm | Diff: 16.08 dB
[NLOS] Signal: -85.81 dBm | First Path: -100.76 dBm | Diff: 14.95 dB
[NLOS] Signal: -86.01 dBm | First Path: -100.87 dBm | Diff: 14.86 dB
[NLOS] Signal: -85.77 dBm | First Path: -100.03 dBm | Diff: 14.25 dB
[NLOS] Signal: -86.20 dBm | First Path: -101.37 dBm | Diff: 15.17 dB
[NLOS] Signal: -85.69 dBm | First Path: -101.49 dBm | Diff: 15.80 dB
[NLOS] Signal: -85.65 dBm | First Path: -100.77 dBm | Diff: 15.12 dB
[NLOS] Signal: -86.10 dBm | First Path: -101.50 dBm | Diff: 15.40 dB
[NLOS] Signal: -85.98 dBm | First Path: -100.75 dBm | Diff: 14.77 dB
[NLOS] Signal: -85.61 dBm | First Path: -101.12 dBm | Diff: 15.51 dB
[NLOS] Signal: -86.20 dBm | First Path: -100.48 dBm | Diff: 14.28 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.09 dBm | Diff: 15.28 dB
[NLOS] Signal: -86.27 dBm | First Path: -101.30 dBm | Diff: 15.03 dB
[NLOS] Signal: -85.73 dBm | First Path: -101.75 dBm | Diff: 16.03 dB
[NLOS] Signal: -85.69 dBm | First Path: -101.46 dBm | Diff: 15.77 dB
[NLOS] Signal: -85.98 dBm | First Path: -101.03 dBm | Diff: 15.05 dB
[NLOS] Signal: -86.01 dBm | First Path: -100.58 dBm | Diff: 14.57 dB
[NLOS] Signal: -85.81 dBm | First Path: -101.03 dBm | Diff: 15.22 dB
[NLOS] Signal: -86.36 dBm | First Path: -100.83 dBm | Diff: 14.47 dB
[NLOS] Signal: -85.69 dBm | First Path: -101.17 dBm | Diff: 15.47 dB
[NLOS] Signal: -85.73 dBm | First Path: -100.77 dBm | Diff: 15.04 dB
[NLOS] Signal: -85.65 dBm | First Path: -101.08 dBm | Diff: 15.43 dB
[NLOS] Signal: -85.69 dBm | First Path: -102.31 dBm | Diff: 16.62 dB
[NLOS] Signal: -86.06 dBm | First Path: -101.43 dBm | Diff: 15.37 dB
[NLOS] Signal: -85.95 dBm | First Path: -102.06 dBm | Diff: 16.10 dB
[NLOS] Signal: -85.93 dBm | First Path: -99.96 dBm | Diff: 14.03 dB
[NLOS] Signal: -85.98 dBm | First Path: -101.66 dBm | Diff: 15.68 dB
